date,content,like_count,retweet_count,username,verified
2022-05-21 16:12:26+00:00,"Paleo breakfast two over easy eggs+ bologna sandwich with mayo, red leaf lettuce, spinach &amp; seasoning. #greentabasco Mighty good stuff #paleofoodies I guarantee it! Bon appetit! #MedicineCards #CBD #chocolate",0,0,vibeman49,False
2022-05-21 16:06:30+00:00,"Our Bitter Cacao Sourdough Bread - bitter Cioccolato, Mosto d'Uva(grapemust), Poppy Seed crust #sourdough #chocolate #bread #lievitomadre #fornocultura #teambread We make Ur #carbohydrates essential! https://t.co/jCY5OUBbzg",1,0,fornocultura,False
2022-05-21 16:01:40+00:00,Today is the last day for Marvelous Marble #OffSeasonFlavor #Chocolate #Vanilla https://t.co/9EciUahTEd,0,0,icingonthecpcke,False
2022-05-21 16:00:49+00:00,"For years, the chocolate industry has not sufficiently addressed accusations of child labor in its supply chain, and many companies refuse to release information about where they sourced their cocoa. 
To learn more, visit: https://t.co/wn1KdfTqVE

#chocoholic #chocolate https://t.co/EkFcupddmT",2,0,FoodIsPower,False
2022-05-21 15:56:39+00:00,Dark chocolate or milk chocolate? #chocolate,1,0,CandleQueenUS,False
2022-05-21 15:46:33+00:00,"Delicious crunch is out of the box now. 
Savour the yumminess with Us!
.
Enquiries - Call toll free-
18001215433
.
#TheSugarrandSpice #cake #Bakery #ChickenBasket #nonveg #VegPatty #chocolate #cream #cakes #combo #snacks #vegsnacks #nonvegsnacks #birthdaycakes #customizedcake https://t.co/v8eIFeESFI",0,0,TheSugarr_Spice,False
2022-05-21 15:30:25+00:00,The last chocolate in a box of assorted chocolates will be the worst tasting one. #life #fact #chocolate https://t.co/cNjBWMnh4e,0,0,LunarWolfProj,False
2022-05-21 15:30:00+00:00,"We strive for💯% sustainability. That's why we wrap our 100g bars in💯% compostable packaging. Just plant these in your garden or put them on the compost heap and they will decompose in 10-12 weeks!

#packaging #compostable #green #Chocolate #sustainable #zerowaste #letterbox https://t.co/QBOvmbvTVF",1,0,GnawChocolate,False
2022-05-21 15:05:04+00:00,"A piece of haven 😁🤩😃
#chocolatecake #cake #chocolate #baking #cook #bolo #deliciousfood #sogood https://t.co/GC8JrJLq0X",0,0,M4F1l1CA,False
2022-05-21 15:00:35+00:00,"From Beirut with Love.
#chocolate https://t.co/2qIPx8VLWi",0,0,akorwaal,False
2022-05-21 15:00:01+00:00,"We have been awarded multiple Tripadvisor Certificates of Excellence. Come and see why and our expert local guides can also advise where to get the best treats on the tour 😃 https://t.co/1QMZXTtno1 🇬🇧

#travelgram #Travel @Tripadvisor @visitlondon #LetsDoLondon #chocolate #Tours https://t.co/2I2WSjmyWi",0,0,theenglishbus,False
